Loan_ID,Customer_ID,Application_Date,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Annual_Income,Employment_Type,Credit_Score,Age,Gender,Marital_Status,Region,Branch,Loan_Status,Default_Status,EMI,Total_Interest
L00018,C1018,2025-10-10,Education,317308,7.1,96,4927830,Salaried,780,48,Male,Married,East,Kolkata,Approved,No,3539.97,180230.94
L00019,C1019,2025-03-25,Home,1846603,9.3,240,3301521,Salaried,653,47,Male,Married,East,Bhubaneswar,Rejected,No,8409.74,3434681.58
L00020,C1020,2025-04-25,Personal,333238,14.5,60,2538128,Salaried,640,33,Female,Single,East,Bhubaneswar,Rejected,No,6359.29,241597.55
L00021,C1021,2025-05-16,Auto,1012526,10.4,84,3245627,Salaried,764,27,Female,Single,East,Kolkata,Approved,No,13307.48,737118.93
L00022,C1022,2025-12-10,Business,2918385,10.0,180,4590127,Salaried,629,44,Female,Married,East,Bhubaneswar,Rejected,No,17834.58,4377577.5
L00023,C1023,2025-12-13,Auto,624308,8.8,84,1345432,Business Owner,784,32,Female,Single,East,Patna,Approved,No,8086.28,384573.73
L00024,C1024,2025-09-21,Auto,763246,10.4,84,2063140,Business Owner,710,60,Female,Married,North,Jaipur,Pending,No,10031.23,555643.09
L00025,C1025,2025-10-22,Auto,325611,10.0,84,2184422,Salaried,806,45,Female,Single,South,Hyderabad,Approved,No,4263.95,227927.7
L00026,C1026,2025-12-08,Home,2583192,7.6,240,1194119,Business Owner,799,56,Female,Single,South,Chennai,Approved,No,11581.31,3926451.84
L00027,C1027,2025-05-27,Education,459249,7.5,96,1635113,Salaried,790,38,Female,Single,West,Ahmedabad,Approved,No,5142.63,275549.4
L00028,C1028,2025-10-22,Personal,535020,12.7,60,2239961,Self-Employed,698,51,Male,Single,North,Delhi,Approved,No,10049.46,339737.7
L00029,C1029,2025-08-28,Education,486193,8.6,96,4814921,Salaried,791,60,Male,Single,East,Bhubaneswar,Approved,No,5500.06,334500.78
L00030,C1030,2025-08-04,Education,472793,8.8,96,1438329,Self-Employed,821,26,Female,Married,North,Delhi,Approved,No,5358.32,332846.27
L00031,C1031,2025-04-22,Personal,309044,11.5,60,875612,Self-Employed,799,37,Female,Married,North,Jaipur,Approved,No,5743.07,177700.3
L00032,C1032,2025-12-23,Auto,903766,9.7,84,1206798,Self-Employed,748,59,Male,Married,North,Delhi,Approved,No,11802.75,613657.11
L00033,C1033,2025-12-29,Education,213266,8.3,96,3408573,Salaried,617,48,Male,Single,East,Patna,Rejected,No,2405.91,141608.62
L00034,C1034,2025-04-04,Education,492477,7.8,96,2551464,Self-Employed,682,34,Female,Single,West,Pune,Pending,No,5530.11,307305.65
L00035,C1035,2025-09-09,Business,2666891,11.5,180,2617508,Self-Employed,742,22,Male,Single,East,Bhubaneswar,Approved,No,16519.91,4600386.98
L00036,C1036,2025-05-09,Personal,460455,12.1,60,2868642,Salaried,769,28,Male,Single,South,Bengaluru,Approved,No,8602.83,278575.28
L00037,C1037,2025-06-04,Business,3597932,12.9,180,1853149,Salaried,649,55,Male,Single,North,Lucknow,Rejected,No,22567.03,6961998.42
L00038,C1038,2025-01-27,Business,3175419,11.7,180,2750619,Self-Employed,778,51,Male,Married,North,Delhi,Approved,No,19705.24,5572860.34
L00039,C1039,2025-04-26,Home,1425780,9.5,240,749705,Business Owner,638,45,Female,Single,West,Pune,Rejected,No,6505.12,2708982.0
L00040,C1040,2025-03-22,Education,304053,7.5,96,2861715,Salaried,745,47,Female,Single,East,Patna,Approved,No,3404.76,182431.8
L00041,C1041,2025-08-06,Personal,344762,14.7,60,2716798,Salaried,780,55,Male,Married,East,Kolkata,Approved,No,6590.7,253400.07
L00042,C1042,2025-10-04,Home,2090217,8.4,240,800280,Self-Employed,642,49,Male,Married,East,Kolkata,Rejected,No,9440.81,3511564.56
L00043,C1043,2025-05-23,Auto,1007053,8.9,84,2400238,Salaried,606,58,Female,Single,West,Ahmedabad,Rejected,No,13055.72,627394.02
L00044,C1044,2025-08-21,Auto,409680,9.8,84,3725472,Salaried,685,41,Female,Single,North,Jaipur,Approved,No,5355.1,281040.48
L00045,C1045,2025-05-28,Business,2233285,12.3,180,309655,Self-Employed,768,52,Male,Married,North,Jaipur,Approved,No,13933.22,4120410.82
L00046,C1046,2025-09-13,Personal,335615,14.3,60,2906761,Business Owner,741,39,Female,Single,South,Hyderabad,Approved,No,6393.47,239964.73
L00047,C1047,2025-09-17,Personal,243139,14.7,60,4131802,Self-Employed,741,21,Female,Single,West,Pune,Approved,No,4648.01,178707.16
L00048,C1048,2025-04-30,Education,769827,8.4,96,4817941,Self-Employed,723,23,Female,Single,West,Mumbai,Approved,No,8692.63,517323.74
L00049,C1049,2025-07-29,Personal,205239,13.9,60,4455117,Business Owner,846,30,Male,Single,West,Pune,Approved,No,3896.12,142641.11
L00050,C1050,2025-11-13,Business,1878103,11.9,180,3634331,Salaried,766,36,Female,Married,East,Bhubaneswar,Approved,No,11675.54,3352413.85
L00051,C1051,2025-10-17,Home,1497784,8.1,240,1143115,Business Owner,713,32,Male,Married,North,Jaipur,Pending,No,6746.27,2426410.08
L00052,C1052,2025-03-22,Education,466314,8.8,96,2320226,Salaried,727,49,Female,Single,North,Lucknow,Approved,No,5284.89,328285.06
L00053,C1053,2025-12-04,Auto,703380,9.6,84,4132216,Self-Employed,816,38,Male,Married,West,Ahmedabad,Approved,No,9177.43,472671.36
L00054,C1054,2025-03-09,Personal,201883,13.3,60,3255482,Salaried,656,39,Female,Single,West,Pune,Rejected,No,3812.22,134252.2
L00055,C1055,2025-06-23,Personal,272537,14.0,60,4824880,Salaried,824,50,Male,Married,South,Chennai,Approved,No,5178.2,190775.9
L00056,C1056,2025-02-25,Education,214594,8.3,96,4975077,Business Owner,693,35,Female,Married,South,Hyderabad,Pending,No,2420.89,142490.42
L00057,C1057,2025-10-03,Personal,222343,11.4,60,830302,Salaried,762,45,Female,Single,East,Patna,Approved,No,4128.17,126735.51
L00058,C1058,2025-02-20,Personal,393328,14.4,60,3780303,Business Owner,767,44,Female,Married,West,Ahmedabad,Approved,No,7499.45,283196.16
L00059,C1059,2025-10-11,Personal,122394,11.8,60,1324749,Salaried,842,58,Male,Married,West,Pune,Approved,No,2280.61,72212.46
L00060,C1060,2025-01-09,Business,1045226,12.6,180,323786,Salaried,670,37,Male,Married,East,Kolkata,Pending,No,6538.47,1975477.14
L00061,C1061,2025-12-04,Home,2680202,8.4,240,833163,Business Owner,721,40,Female,Married,West,Ahmedabad,Approved,No,12105.58,4502739.36
L00062,C1062,2025-10-27,Education,665108,7.3,96,3875842,Business Owner,775,41,Female,Single,North,Jaipur,Approved,No,7433.97,388423.07
L00063,C1063,2025-02-18,Business,3246065,12.7,180,3908773,Self-Employed,625,48,Female,Single,West,Ahmedabad,Rejected,No,20323.97,6183753.83
L00064,C1064,2025-03-04,Education,301255,8.1,96,863155,Self-Employed,623,43,Female,Married,East,Kolkata,Rejected,No,3392.26,195213.24
L00065,C1065,2025-04-26,Auto,462246,9.6,84,3249822,Self-Employed,626,56,Male,Single,East,Patna,Rejected,No,6031.21,310629.31
L00066,C1066,2025-09-29,Auto,306402,8.8,84,2891951,Salaried,835,45,Female,Single,North,Delhi,Approved,No,3968.64,188743.63
L00067,C1067,2025-08-06,Auto,895164,8.6,84,2914203,Self-Employed,784,59,Female,Single,East,Kolkata,Approved,No,11573.19,538888.73
L00068,C1068,2025-04-19,Business,965105,10.1,180,1254770,Salaried,688,37,Female,Single,East,Kolkata,Pending,No,5903.23,1462134.07
L00069,C1069,2025-08-12,Education,441288,7.8,96,3912596,Salaried,644,50,Male,Single,North,Delhi,Rejected,No,4955.3,275363.71
L00070,C1070,2025-10-29,Education,540544,8.8,96,3803870,Self-Employed,674,54,Male,Single,West,Ahmedabad,Approved,Yes,6126.17,380542.98
L00071,C1071,2025-05-01,Auto,835280,9.2,84,2158681,Salaried,685,30,Female,Married,East,Patna,Approved,No,10858.64,537920.32
L00072,C1072,2025-11-18,Personal,570711,12.3,60,932109,Self-Employed,645,30,Female,Married,South,Hyderabad,Rejected,No,10681.81,350987.27
L00073,C1073,2025-02-16,Auto,831981,9.2,84,2604129,Business Owner,751,59,Female,Single,West,Pune,Approved,No,10815.75,535795.76
L00074,C1074,2025-01-21,Business,2602886,12.7,180,1879067,Salaried,682,49,Female,Married,North,Jaipur,Approved,No,16296.96,4958497.83
L00075,C1075,2025-06-20,Auto,926928,9.9,84,3549885,Salaried,704,58,Male,Single,East,Bhubaneswar,Approved,No,12127.31,642361.1
L00076,C1076,2025-09-27,Education,594976,8.5,96,1381724,Salaried,752,48,Female,Married,East,Patna,Approved,No,6724.47,404583.68
L00077,C1077,2025-12-05,Personal,262471,14.3,60,2096778,Self-Employed,687,60,Male,Single,East,Bhubaneswar,Approved,No,5000.07,187666.77
L00078,C1078,2025-05-03,Personal,349068,11.9,60,1688643,Self-Employed,784,51,Male,Single,South,Chennai,Approved,No,6510.12,207695.46
L00079,C1079,2025-12-31,Auto,1156572,9.5,84,3503378,Business Owner,728,28,Female,Married,West,Pune,Approved,No,15076.74,769120.38
L00080,C1080,2025-02-11,Education,673041,7.7,96,4606314,Self-Employed,637,35,Male,Single,South,Bengaluru,Rejected,No,7550.68,414593.26
L00081,C1081,2025-04-21,Auto,1170068,9.7,84,1525150,Salaried,635,56,Female,Married,North,Lucknow,Rejected,No,15280.53,794476.17
L00082,C1082,2025-05-04,Auto,969989,9.7,84,1322138,Business Owner,612,30,Female,Single,East,Kolkata,Rejected,No,12667.59,658622.53
L00083,C1083,2025-10-11,Auto,996643,9.6,84,2317999,Salaried,746,45,Female,Married,North,Lucknow,Approved,No,13003.82,669744.1
L00084,C1084,2025-12-23,Auto,552838,9.2,84,436249,Self-Employed,691,32,Male,Married,West,Pune,Pending,No,7186.89,356027.67
L00085,C1085,2025-05-27,Auto,630926,9.4,84,1991067,Self-Employed,611,24,Female,Single,West,Mumbai,Rejected,No,8217.06,415149.31
L00086,C1086,2025-08-06,Education,395892,7.5,96,3655625,Salaried,790,48,Male,Single,North,Jaipur,Approved,No,4433.17,237535.2
L00087,C1087,2025-08-11,Home,2040003,8.9,240,3050791,Self-Employed,769,24,Male,Single,East,Kolkata,Approved,No,9256.51,3631205.34
L00088,C1088,2025-12-14,Personal,347459,13.4,60,561226,Self-Employed,636,44,Female,Single,East,Patna,Rejected,No,6566.98,232797.53
L00089,C1089,2025-05-15,Personal,361736,14.7,60,4741431,Self-Employed,693,49,Male,Single,North,Lucknow,Approved,No,6915.19,265875.96
L00090,C1090,2025-10-09,Home,1110596,9.1,240,1438572,Business Owner,818,39,Female,Married,West,Mumbai,Approved,No,5048.58,2021284.72
L00091,C1091,2025-11-10,Business,3822164,11.7,180,2181075,Salaried,631,25,Female,Single,South,Bengaluru,Rejected,No,23718.65,6707897.82
L00092,C1092,2025-10-28,Education,277767,8.7,96,3734577,Salaried,810,29,Female,Married,West,Ahmedabad,Approved,No,3145.13,193325.83
L00093,C1093,2025-10-10,Personal,462831,11.8,60,2851181,Self-Employed,642,29,Female,Married,North,Lucknow,Rejected,No,8624.08,273070.29
L00094,C1094,2025-08-02,Business,2863985,11.9,180,1593475,Business Owner,643,22,Female,Single,South,Hyderabad,Rejected,No,17804.44,5112213.23
L00095,C1095,2025-06-26,Personal,265759,12.3,60,3706551,Self-Employed,676,29,Female,Married,East,Bhubaneswar,Pending,No,4974.12,163441.79
L00096,C1096,2025-10-23,Education,301514,7.5,96,1327788,Business Owner,668,41,Male,Married,East,Kolkata,Approved,No,3376.33,180908.4
L00097,C1097,2025-09-11,Education,294423,7.7,96,4483899,Business Owner,825,51,Female,Married,West,Ahmedabad,Approved,No,3303.06,181364.57
L00098,C1098,2025-09-16,Personal,147440,11.3,60,2518559,Self-Employed,786,56,Female,Married,North,Jaipur,Approved,No,2735.01,83303.6
L00099,C1099,2025-08-31,Education,351275,7.1,96,3430614,Business Owner,803,50,Male,Married,South,Chennai,Approved,No,3918.91,199524.2
L00100,C1100,2025-08-02,Auto,652713,9.1,84,1663165,Business Owner,700,40,Male,Single,East,Patna,Approved,No,8477.5,415778.18
L00101,C1101,2025-01-17,Business,2947474,11.9,180,2208770,Business Owner,784,28,Male,Married,East,Patna,Approved,No,18323.46,5261241.09
L00102,C1102,2025-06-10,Education,694514,9.0,96,1570297,Salaried,705,50,Female,Single,West,Pune,Pending,No,7885.63,500050.08
L00103,C1103,2025-09-08,Education,512999,8.4,96,1912828,Self-Employed,845,51,Female,Single,East,Patna,Approved,No,5792.61,344735.33
L00104,C1104,2025-04-20,Business,3932523,12.9,180,4856615,Salaried,697,55,Female,Single,East,Kolkata,Pending,No,24665.66,7609432.0
L00105,C1105,2025-03-22,Business,3309487,11.2,180,2307243,Self-Employed,662,51,Female,Married,South,Chennai,Approved,No,20445.28,5559938.16
L00106,C1106,2025-04-01,Auto,902022,8.6,84,796291,Salaried,832,46,Female,Married,East,Bhubaneswar,Approved,No,11661.86,543017.24
L00107,C1107,2025-02-27,Home,1250051,8.5,240,2803095,Self-Employed,745,31,Female,Single,East,Kolkata,Approved,No,5651.27,2125086.7
L00108,C1108,2025-06-15,Auto,940632,9.8,84,2774842,Salaried,745,21,Female,Single,South,Chennai,Approved,No,12295.4,645273.55
L00109,C1109,2025-12-20,Auto,985436,9.1,84,3065097,Salaried,677,39,Female,Married,South,Bengaluru,Pending,No,12798.94,627722.73
L00110,C1110,2025-09-27,Education,775914,8.5,96,1585013,Self-Employed,716,54,Female,Married,South,Chennai,Approved,No,8769.44,527621.52
L00111,C1111,2025-01-29,Business,1190118,10.6,180,4540332,Self-Employed,651,29,Female,Single,North,Delhi,Rejected,No,7312.61,1892287.62
L00112,C1112,2025-02-05,Education,203161,7.1,96,2885113,Self-Employed,785,23,Female,Single,North,Lucknow,Approved,No,2266.51,115395.45
L00113,C1113,2025-04-02,Education,593892,8.3,96,3441205,Business Owner,828,46,Male,Married,South,Chennai,Approved,No,6699.84,394344.29
L00114,C1114,2025-01-17,Auto,697700,8.9,84,4183958,Business Owner,772,47,Male,Married,North,Delhi,Approved,No,9045.18,434667.1
L00115,C1115,2025-04-30,Home,1004163,8.4,240,581658,Business Owner,714,57,Female,Single,South,Chennai,Pending,No,4535.47,1686993.84
L00116,C1116,2025-09-11,Personal,683761,12.7,60,4672570,Salaried,656,43,Female,Single,South,Bengaluru,Rejected,No,12843.31,434188.23
L00117,C1117,2025-08-02,Personal,352673,14.7,60,2815647,Business Owner,696,54,Male,Single,West,Pune,Pending,No,6741.93,259214.65
L00118,C1118,2025-01-21,Personal,196955,13.4,60,3070446,Salaried,765,33,Male,Single,South,Bengaluru,Approved,No,3722.45,131959.85
L00119,C1119,2025-05-25,Auto,423014,9.3,84,428628,Self-Employed,654,50,Female,Single,South,Bengaluru,Rejected,No,5504.22,275382.11
L00120,C1120,2025-01-09,Business,3867256,11.1,180,4471464,Self-Employed,719,56,Female,Single,East,Bhubaneswar,Approved,No,23869.56,6438981.24
L00121,C1121,2025-03-28,Auto,877390,9.9,84,2229536,Salaried,697,55,Female,Married,South,Chennai,Pending,No,11479.19,608031.27
L00122,C1122,2025-07-11,Home,1003484,9.2,240,923528,Salaried,841,60,Female,Single,North,Lucknow,Approved,No,4565.85,1846410.56
L00123,C1123,2025-02-24,Business,570154,10.1,180,4927521,Salaried,705,54,Male,Married,North,Delhi,Approved,No,3487.44,863783.31
L00124,C1124,2025-12-17,Business,1621241,11.2,180,2417437,Salaried,808,23,Male,Single,South,Hyderabad,Approved,No,10015.67,2723684.88
L00125,C1125,2025-09-28,Business,3447946,11.9,180,4293020,Salaried,614,35,Male,Single,West,Pune,Rejected,No,21434.73,6154583.61
L00126,C1126,2025-02-09,Home,938000,9.4,240,2651939,Self-Employed,830,31,Male,Single,East,Kolkata,Approved,No,4275.72,1763440.0
L00127,C1127,2025-06-17,Personal,343420,12.6,60,957899,Salaried,728,38,Female,Single,East,Bhubaneswar,Approved,No,6444.85,216354.6
L00128,C1128,2025-12-31,Business,3350846,10.9,180,3449309,Business Owner,710,30,Female,Single,South,Bengaluru,Pending,No,20644.93,5478633.21
L00129,C1129,2025-02-15,Home,2092967,7.8,240,343580,Self-Employed,841,56,Male,Single,East,Kolkata,Approved,No,9400.91,3265028.52
L00130,C1130,2025-02-02,Auto,886716,8.8,84,3771290,Salaried,699,48,Female,Single,West,Mumbai,Approved,No,11485.08,546217.06
L00131,C1131,2025-06-18,Home,1834273,8.4,240,3329335,Self-Employed,664,42,Female,Married,East,Bhubaneswar,Pending,No,8284.8,3081578.64
L00132,C1132,2025-05-24,Business,1245064,11.9,180,1984864,Self-Employed,722,44,Male,Married,East,Bhubaneswar,Approved,No,7740.15,2222439.24
L00133,C1133,2025-11-21,Business,3471106,10.2,180,525788,Self-Employed,843,36,Female,Married,South,Hyderabad,Approved,No,21250.88,5310792.18
L00134,C1134,2025-12-26,Home,2810056,9.3,240,4067044,Business Owner,753,59,Male,Married,West,Pune,Approved,No,12797.46,5226704.16
L00135,C1135,2025-09-23,Auto,976364,8.5,84,1695348,Business Owner,765,58,Male,Single,South,Hyderabad,Approved,No,12611.37,580936.58
L00136,C1136,2025-06-09,Education,309627,8.9,96,4498211,Self-Employed,638,50,Male,Single,East,Bhubaneswar,Rejected,No,3512.33,220454.42
L00137,C1137,2025-03-26,Home,2697701,9.1,240,3975602,Business Owner,784,36,Male,Married,East,Bhubaneswar,Approved,No,12263.3,4909815.82
L00138,C1138,2025-01-03,Education,395440,7.9,96,4175991,Business Owner,659,34,Male,Single,East,Patna,Rejected,No,4444.58,249918.08
L00139,C1139,2025-11-09,Home,2334247,8.0,240,4803751,Self-Employed,647,58,Male,Single,North,Lucknow,Rejected,No,10504.11,3734795.2
L00140,C1140,2025-07-18,Business,3077334,10.7,180,1747265,Self-Employed,808,59,Male,Single,East,Bhubaneswar,Approved,No,18925.6,4939121.07
L00141,C1141,2025-01-05,Education,713426,7.1,96,4807864,Self-Employed,777,29,Male,Single,West,Mumbai,Approved,No,7959.16,405225.97
L00142,C1142,2025-03-28,Education,286686,7.5,96,3786560,Self-Employed,781,57,Female,Married,West,Pune,Approved,No,3210.29,172011.6
L00143,C1143,2025-01-17,Business,3687688,11.3,180,3377459,Self-Employed,738,37,Female,Married,North,Jaipur,Approved,No,22802.2,6250631.16
L00144,C1144,2025-09-30,Personal,274044,13.3,60,2060585,Self-Employed,807,59,Male,Single,West,Mumbai,Approved,No,5174.86,182239.26
L00145,C1145,2025-03-06,Business,3349187,12.4,180,2542636,Business Owner,843,29,Male,Married,East,Bhubaneswar,Approved,No,20913.81,6229487.82
L00146,C1146,2025-12-22,Education,593396,7.8,96,4405877,Self-Employed,636,50,Female,Single,East,Kolkata,Rejected,No,6663.34,370279.1
L00147,C1147,2025-06-22,Home,2302495,7.9,240,4145751,Business Owner,762,57,Male,Single,North,Lucknow,Approved,No,10351.63,3637942.1
L00148,C1148,2025-11-29,Home,2727625,8.4,240,685397,Self-Employed,625,31,Female,Married,East,Patna,Rejected,No,12319.77,4582410.0
L00149,C1149,2025-10-31,Home,1494262,8.4,240,3419251,Salaried,770,54,Female,Married,East,Bhubaneswar,Approved,No,6749.08,2510360.16
L00150,C1150,2025-06-03,Auto,438595,10.1,84,1311613,Salaried,820,45,Male,Married,North,Lucknow,Approved,No,5748.73,310086.67
L00151,C1151,2025-03-05,Business,2345910,11.8,180,371091,Business Owner,756,45,Female,Single,North,Lucknow,Approved,No,14570.71,4152260.7
L00152,C1152,2025-07-20,Personal,128127,13.0,60,2623373,Self-Employed,765,24,Male,Single,East,Kolkata,Approved,No,2413.06,83282.55
L00153,C1153,2025-08-30,Personal,431845,13.7,60,4490802,Salaried,763,22,Male,Married,West,Mumbai,Approved,No,8183.46,295813.83
L00154,C1154,2025-02-12,Home,2469228,8.3,240,807249,Self-Employed,842,26,Male,Married,East,Kolkata,Approved,No,11142.39,4098918.48
L00155,C1155,2025-12-29,Business,3561667,12.8,180,854613,Salaried,679,21,Male,Single,East,Bhubaneswar,Approved,Yes,22319.78,6838400.64
L00156,C1156,2025-12-31,Business,1032385,10.1,180,2474721,Business Owner,642,25,Female,Single,East,Patna,Rejected,No,6314.75,1564063.27
L00157,C1157,2025-07-06,Education,307903,8.7,96,1699902,Self-Employed,694,30,Male,Married,East,Kolkata,Pending,No,3486.36,214300.49
L00158,C1158,2025-07-25,Auto,1166120,10.3,84,2382582,Salaried,706,50,Female,Single,West,Mumbai,Approved,No,15312.27,840772.52
L00159,C1159,2025-04-11,Business,1341675,10.7,180,4131464,Business Owner,602,55,Male,Married,East,Kolkata,Rejected,No,8251.3,2153388.37
L00160,C1160,2025-09-29,Home,2253006,7.5,240,2254526,Salaried,738,47,Female,Married,North,Jaipur,Approved,No,10091.59,3379509.0
L00161,C1161,2025-02-08,Auto,733121,8.7,84,1080364,Business Owner,611,57,Male,Single,South,Hyderabad,Rejected,No,9486.93,446470.69
L00162,C1162,2025-02-25,Auto,712040,10.4,84,2489350,Salaried,817,27,Male,Single,South,Chennai,Approved,No,9358.24,518365.12
L00163,C1163,2025-12-27,Education,673869,8.6,96,1312813,Business Owner,737,59,Male,Married,West,Pune,Approved,No,7623.14,463621.87
L00164,C1164,2025-10-09,Home,2292093,8.0,240,2382210,Salaried,847,27,Female,Married,East,Kolkata,Approved,No,10314.42,3667348.8
L00165,C1165,2025-02-08,Home,1732344,8.9,240,817318,Salaried,812,25,Male,Single,South,Chennai,Approved,No,7860.51,3083572.32
L00166,C1166,2025-05-21,Auto,476149,9.4,84,1327836,Self-Employed,610,49,Male,Married,South,Chennai,Rejected,No,6201.27,313306.04
L00167,C1167,2025-07-15,Auto,391982,10.3,84,4485006,Business Owner,705,43,Female,Single,South,Hyderabad,Approved,No,5147.1,282619.02
L00168,C1168,2025-10-27,Business,1254202,12.4,180,2997813,Salaried,699,31,Male,Married,East,Patna,Pending,No,7831.79,2332815.72
L00169,C1169,2025-12-24,Business,2914627,13.0,180,768995,Self-Employed,795,58,Male,Single,South,Bengaluru,Approved,No,18297.38,5683522.65
L00170,C1170,2025-11-11,Personal,194641,12.3,60,4429097,Salaried,738,29,Female,Married,South,Hyderabad,Approved,No,3643.03,119704.22
L00171,C1171,2025-06-04,Home,1394134,9.4,240,1539098,Self-Employed,750,29,Male,Single,East,Kolkata,Approved,No,6354.93,2620971.92
L00172,C1172,2025-10-21,Auto,997860,8.8,84,1761317,Self-Employed,781,57,Male,Married,West,Ahmedabad,Approved,No,12924.66,614681.76
L00173,C1173,2025-12-10,Personal,349556,14.3,60,1173339,Business Owner,839,42,Female,Married,East,Patna,Approved,No,6659.04,249932.54
L00174,C1174,2025-06-29,Personal,150486,13.0,60,868703,Business Owner,689,45,Male,Single,East,Kolkata,Pending,No,2834.15,97815.9
L00175,C1175,2025-10-08,Education,534198,7.8,96,918319,Salaried,804,42,Female,Married,South,Chennai,Approved,No,5998.6,333339.55
L00176,C1176,2025-06-02,Personal,299212,13.6,60,3942336,Salaried,640,27,Male,Single,West,Ahmedabad,Rejected,No,5665.08,203464.16
L00177,C1177,2025-03-01,Home,2593509,7.7,240,3326852,Self-Employed,600,46,Female,Single,West,Mumbai,Rejected,No,11638.37,3994003.86
L00178,C1178,2025-03-19,Business,2099897,11.3,180,3550813,Business Owner,647,27,Male,Single,East,Kolkata,Rejected,No,12984.36,3559325.42
L00179,C1179,2025-07-22,Personal,661527,12.2,60,4943949,Business Owner,615,23,Male,Married,West,Ahmedabad,Rejected,No,12370.55,403531.47
L00180,C1180,2025-05-13,Personal,182175,14.3,60,2077463,Self-Employed,806,25,Male,Single,West,Mumbai,Approved,No,3470.43,130255.12
L00181,C1181,2025-02-21,Auto,1124758,9.6,84,2616940,Salaried,733,57,Male,Single,West,Ahmedabad,Approved,No,14675.41,755837.38
L00182,C1182,2025-07-22,Auto,938543,9.7,84,3513201,Self-Employed,767,36,Male,Single,East,Bhubaneswar,Approved,No,12256.92,637270.7
L00183,C1183,2025-06-14,Home,2071104,9.4,240,3134226,Self-Employed,809,47,Male,Married,East,Bhubaneswar,Approved,No,9440.78,3893675.52
L00184,C1184,2025-09-26,Education,258936,7.8,96,4363947,Business Owner,794,22,Male,Married,West,Mumbai,Approved,No,2907.64,161576.06
L00185,C1185,2025-07-10,Personal,387286,13.7,60,577420,Self-Employed,716,59,Female,Married,South,Chennai,Approved,No,7339.07,265290.91
L00186,C1186,2025-11-28,Business,1584898,10.1,180,3233998,Salaried,688,34,Female,Single,West,Ahmedabad,Approved,No,9694.29,2401120.47
L00187,C1187,2025-08-05,Home,1354965,8.0,240,4277015,Self-Employed,833,43,Female,Single,North,Lucknow,Approved,No,6097.34,2167944.0
L00188,C1188,2025-05-25,Auto,407282,10.2,84,4667427,Self-Employed,811,27,Female,Married,South,Bengaluru,Approved,No,5343.15,290799.35
L00189,C1189,2025-12-02,Auto,457212,10.1,84,2622679,Self-Employed,666,39,Female,Single,East,Bhubaneswar,Approved,No,5992.74,323248.88
